Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 21 5;513;22042120091;15;1;0;0;0;0;0;0;1;0;
2004 21 5;514;22042040441;15;1;0;0;0;0;0;0;0;0;
2004 21 5;515;22042150122;15;0;0;0;0;0;0;0;0;0;
2004 21 5;516;22042150352;15;0;0;0;0;0;0;0;0;0;
2004 21 5;517;22042150114;15;0;0;0;0;0;0;0;0;0;
2004 21 5;518;22042120429;15;1;0;0;0;0;0;0;1;0;
2004 21 5;519;22042150223;15;0;0;0;0;0;0;0;0;0;
2004 21 5;520;22042150118;15;0;0;0;0;0;0;0;0;0;
2004 21 5;521;22042150337;15;1;0;0;0;0;0;0;0;0;
2004 21 5;522;22042120177;15;1;0;0;0;0;0;0;1;0;
2004 21 5;523;22042150224;15;0;0;0;0;0;0;0;0;0;
2004 21 5;524;22042220465;15;1;0;0;1;0;0;0;0;1;
2004 21 5;525;22042210015;15;1;0;0;0;0;0;0;0;0;
2004 21 5;526;22042130093;14;1;0;0;1;0;0;0;1;0;
2004 22 1;1;22042130076;1;1;0;0;0;0;0;0;1;0;
2004 22 1;2;22042210294;1;0;0;1;0;0;0;0;0;0;
2004 22 1;3;22042210596;1;1;0;0;0;0;0;0;0;0;
2004 22 1;4;22042210600;1;1;0;0;0;0;0;0;0;0;
2004 22 1;5;22042130078;1;1;0;0;0;0;0;0;1;0;
2004 22 1;6;22042210598;1;0;0;0;0;0;0;0;0;0;
2004 22 1;7;22042210583;1;1;0;0;0;0;0;0;0;0;
2004 22 1;8;22042210579;1;1;0;0;0;0;0;0;0;0;
2004 22 1;9;22042130116;1;1;0;0;0;0;0;0;1;0;
2004 22 1;10;22042210564;1;1;0;0;0;0;0;0;0;0;
2004 22 1;11;22042030264;1;1;0;0;0;0;0;0;0;0;
2004 22 1;12;22042210523;1;0;0;0;0;0;0;0;0;0;
2004 22 1;13;22042140005;1;1;0;0;0;0;0;0;1;0;
2004 22 1;14;22042210030;1;1;0;0;0;0;0;0;0;0;
2004 22 1;15;22042210022;1;1;0;0;0;0;0;0;0;0;
2004 22 1;16;22042210517;1;0;0;0;0;0;0;0;0;0;
2004 22 1;17;22042140006;1;1;0;0;0;0;0;0;1;0;
2004 22 1;18;22042210032;1;1;0;0;0;0;0;0;0;0;
2004 22 1;19;22042210553;1;1;0;0;0;0;0;0;0;1;
2004 22 1;20;22042210233;1;1;0;0;0;0;0;0;0;0;
2004 22 1;21;22042140004;1;1;0;0;0;0;0;0;1;0;
2004 22 1;22;22042210504;1;0;0;0;0;0;0;0;0;0;
2004 22 1;23;22042210038;1;1;0;0;0;0;0;0;0;0;
2004 22 1;24;22042210437;1;1;0;0;0;0;0;0;1;1;
2004 22 1;25;22042210345;1;1;0;0;0;0;0;0;0;0;
2004 22 1;26;22042210033;1;1;0;0;0;0;0;0;0;0;
2004 22 1;27;22042140007;1;1;0;0;0;0;0;0;1;0;
2004 22 1;28;22042210570;1;0;0;0;0;0;0;0;0;0;
2004 22 1;29;22042210037;1;1;0;0;0;0;0;0;0;0;
2004 22 1;30;22042210021;1;1;0;0;0;0;0;0;0;0;
2004 22 1;31;22042210238;1;1;0;0;0;0;0;0;1;0;
2004 22 1;32;22042210499;1;0;0;0;0;0;0;0;0;0;
2004 22 1;33;22042210039;1;1;0;0;0;0;0;0;0;0;
2004 22 1;34;22042210344;1;1;0;0;0;0;0;0;0;0;
2004 22 1;35;22042130096;1;1;0;0;1;0;0;0;1;0;
2004 22 1;36;22042210543;1;1;0;0;0;0;0;0;0;1;
2004 22 1;37;22042210019;1;1;0;0;0;0;0;0;0;0;
2004 22 1;38;22042210528;1;0;0;0;0;0;0;0;0;0;
2004 22 1;39;22042210370;1;1;0;0;0;0;0;0;1;0;
2004 22 1;40;22042210500;1;0;0;0;0;0;0;0;0;0;
2004 22 1;41;22042220825;1;1;0;0;0;0;0;0;0;1;
2004 22 1;42;22042210029;1;1;0;0;0;0;0;0;0;0;
2004 22 1;43;22042210085;1;1;0;0;0;0;0;0;1;0;
2004 22 1;44;22042210518;1;0;0;0;0;0;0;0;0;0;
2004 22 1;45;22042210580;1;1;0;0;1;0;0;0;0;1;
2004 22 1;46;22042210304;1;1;0;0;0;0;0;0;0;0;
2004 22 1;47;22042120255;1;1;1;0;0;0;0;0;1;0;
2004 22 1;48;22042210355;1;1;0;0;0;0;0;0;0;0;
2004 22 1;49;22042210507;1;0;0;0;0;0;0;0;0;0;
2004 22 1;50;22042210020;1;1;0;0;0;0;0;0;0;0;
2004 22 1;51;22042210067;1;1;0;0;0;0;0;0;1;0;
2004 22 1;52;22042210495;1;0;0;0;0;0;0;0;0;0;
2004 22 1;53;22042220845;1;1;0;0;0;0;0;0;0;1;
2004 22 1;54;22042210349;1;0;0;0;0;0;0;0;0;0;
2004 22 1;55;22042210415;1;1;0;0;0;0;0;0;1;0;
2004 22 1;56;22042220592;1;1;0;0;0;0;0;0;0;1;
2004 22 1;57;22042210027;1;1;0;0;0;0;0;0;0;0;
2004 22 1;58;22042210369;1;1;0;0;0;0;0;0;1;0;
2004 22 1;59;22042210035;1;1;0;0;0;0;0;0;0;0;
2004 22 1;60;22042210006;1;0;0;1;0;0;0;0;0;0;
2004 22 1;61;22042130009;1;1;0;0;0;0;0;0;0;1;
2004 22 1;62;22042210443;1;1;0;0;0;0;0;0;1;0;
2004 22 1;63;22042210053;1;1;0;0;0;0;0;0;0;0;
2004 22 1;64;22042210001;1;0;0;0;0;0;0;0;0;0;
2004 22 1;65;22042210025;1;1;0;0;0;0;0;0;0;0;
2004 22 1;66;22042210084;1;1;0;0;0;0;0;0;1;0;
2004 22 1;67;22042210026;1;1;0;0;0;0;0;0;0;0;
2004 22 1;68;22042220684;1;0;0;0;0;0;0;0;0;0;
2004 22 1;69;22042210069;1;1;0;0;0;0;0;0;0;0;
2004 22 1;70;22042210445;1;1;0;0;0;0;0;0;1;0;
2004 22 1;71;22042210515;1;0;0;0;0;0;0;0;0;0;
2004 22 1;72;22042210253;1;1;0;0;0;0;0;0;0;0;
2004 22 1;73;22042210072;1;1;0;0;0;0;0;0;0;0;
2004 22 1;74;22042210408;1;1;0;0;0;0;0;0;1;0;
2004 22 1;75;22042210509;1;0;0;0;0;0;0;0;0;0;
2004 22 1;76;22042210043;1;1;0;0;0;0;0;0;0;0;
2004 22 1;77;22042210368;1;1;0;0;0;0;0;0;1;0;
2004 22 1;78;22042210578;1;1;0;0;1;0;0;0;0;1;
2004 22 1;79;22042210028;1;1;0;0;0;0;0;0;0;0;
2004 22 1;80;22042220713;1;0;0;0;0;0;0;0;0;0;
2004 22 1;81;22042210400;1;1;0;0;0;0;0;0;1;0;
2004 22 1;82;22042220517;1;1;0;0;0;0;0;0;0;1;
2004 22 1;83;22042210036;1;1;0;0;0;0;0;0;0;0;
2004 22 1;84;22042210078;1;1;0;0;0;0;0;0;1;0;
2004 22 1;85;22042210017;1;1;0;0;0;0;0;0;0;0;
2004 22 1;86;22042220740;1;0;0;0;0;0;0;0;0;0;
2004 22 1;87;22042220840;1;1;0;0;1;0;0;0;0;1;
