Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;
2004 23 1;1091;23042420089;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 1;1092;23042310814;14;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1093;23042310550;14;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1094;23042230300;14;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 1;1095;23042310219;14;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 1;1096;23042320981;14;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1097;23042310847;14;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 1;1098;23042310898;14;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 1;1099;23042311221;14;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 1;1100;23042310655;14;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1101;23042240086;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1102;23042311110;14;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;
2004 23 1;1103;23042310340;14;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1104;23042240059;14;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 1;1105;23042310527;14;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 1;1106;23042311428;14;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 1;1107;23042311214;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 23 1;1108;23042310813;14;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 1;1109;23042440085;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 1;1110;23042440073;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;1;23042310063;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;2;23042321102;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;3;23042310929;7;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;4;23042310687;7;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;5;23042321084;7;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;6;23042311255;9;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;7;23042321123;9;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;8;23042320305;9;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;9;23042320037;9;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;10;23042320222;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
