Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 21 5;1277;24042110099;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1278;24042140529;5;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 21 5;1279;24042131094;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1280;24042121011;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1281;24042120575;5;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 21 5;1282;24042110064;5;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 21 5;1283;24042140500;5;0;1;0;0;0;0;0;1;0;0;0;0;0;
2004 21 5;1284;24042121045;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1285;24042121050;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1286;24042110377;5;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 21 5;1287;24042131241;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1288;24042110227;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1289;24042120912;5;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 21 5;1290;24042120593;5;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 21 5;1291;24042130528;5;0;0;0;1;0;0;1;1;0;0;0;0;0;
2004 21 5;1292;24042130616;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1293;24042040364;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1294;24042131297;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1295;24042130495;5;0;0;1;1;0;0;0;1;0;0;1;0;0;
2004 21 5;1296;24042130707;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1297;24042120916;5;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1298;24042110001;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1299;24042130614;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1300;24042140488;5;0;1;0;0;0;0;0;1;0;0;0;0;0;
2004 21 5;1301;24042120987;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1302;24042121033;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1303;24042110402;5;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1304;24042120996;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1305;24042210296;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1306;24042120481;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1307;24042131132;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1308;24042330412;5;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 21 5;1309;24042131346;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1310;24042110024;5;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1311;24042120568;5;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 21 5;1312;24042141188;5;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 21 5;1313;24042110112;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1314;24042131143;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1315;24042120494;5;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 21 5;1316;24042130608;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1317;24042110014;5;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1318;24042140525;5;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 21 5;1319;24042050221;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1320;24042131344;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1321;24042131231;5;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 21 5;1322;24042131022;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 21 5;1323;24042050306;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 21 5;1324;24042120425;5;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 21 5;1325;24042131002;4;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;1;24042140842;10;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;2;24042110136;10;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;3;24042131345;10;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;4;24042120874;10;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;5;24042110128;2;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;6;24042140909;8;1;0;1;0;0;0;0;0;0;0;1;1;0;
2004 22 1;7;24042210702;11;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;8;24042110172;2;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;9;24042131204;11;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;10;24042110584;11;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;11;24042141118;2;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;12;24042110418;2;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;13;24042131032;2;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;14;24042160144;9;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;15;24042210212;9;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;16;24042131210;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;17;24042120233;2;0;0;1;1;0;0;0;0;1;0;0;0;0;
2004 22 1;18;24042131010;2;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;19;24042140972;2;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;20;24042060040;2;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;21;24042140423;3;0;1;0;0;0;0;1;1;0;0;0;0;0;
2004 22 1;22;24042110702;4;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;23;24042120424;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;24;24042131327;4;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;25;24042120138;4;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;26;24042131116;4;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;27;24042131352;4;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;28;24042140215;10;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;29;24042131325;10;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;30;24042110236;10;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;31;24042130991;10;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;32;24042111072;10;0;1;0;0;0;0;0;0;0;0;0;1;0;
2004 22 1;33;24042120149;7;0;0;1;1;0;0;0;0;0;1;1;0;0;
