Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;
2004 22 2;1096;25042320280;16;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 2;1097;25042211291;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1098;25042210042;16;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;
2004 22 2;1099;25042340691;16;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
2004 22 2;1100;25042211222;16;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1101;25042220345;16;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1102;25042220320;16;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;
2004 22 2;1103;25042330988;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1104;25042210243;16;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;
2004 22 2;1105;25042240570;16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1106;25042220296;16;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1107;25042320361;16;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 22 2;1108;25042330090;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1109;25042211300;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1110;25042210198;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1111;25042330989;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1112;25042330995;16;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;1113;25042220433;16;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1114;25042240592;16;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;1115;25042220396;16;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 2;1116;25042240140;16;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 22 2;1117;25042220664;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1118;25042330990;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1119;25042230780;16;1;1;1;0;0;1;0;1;0;0;1;0;1;1;0;1;
2004 22 2;1120;25042250350;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1121;25042330054;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1122;25042220784;16;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;
2004 22 2;1123;25042330091;16;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 2;1124;25042320419;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1125;25042330970;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1126;25042210214;16;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;
2004 22 2;1127;25042430561;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1128;25042330093;16;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 2;1129;25042220055;16;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1130;25042330056;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1131;25042220960;16;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1132;25042330674;16;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
2004 22 2;1133;25042230839;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1134;25042450486;16;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;
2004 22 2;1135;25042330847;16;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1136;25042220600;16;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1137;25042240567;16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1138;25042220200;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1139;25042321447;16;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;
