Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 22 1;316;28042030189;14;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;317;28042030051;14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 1;318;28042320226;14;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;319;28042030132;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;320;28042030053;14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 1;321;28042030241;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 1;322;28042250105;14;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
2004 22 1;323;28042030235;14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 1;324;28042030259;14;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;325;28042410556;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;326;28042320169;14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;327;28042020271;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 1;328;28042030268;14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 1;329;28042320151;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;330;28042010044;14;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 1;331;28042030265;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 1;332;28042030067;14;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 1;333;28042320165;14;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;
2004 22 1;334;28042060247;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;335;28042060248;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;1;28042110076;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;2;28042030172;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;3;28042130344;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;
2004 22 2;4;28042130193;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
