Date;SeqRank;Ident;Paint Color;HPRC1;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;
2004 23 2;33;28042440036;4;0;0;1;0;1;0;0;0;0;
2004 23 2;35;28042340569;4;1;0;1;0;0;0;0;0;0;
2004 23 2;36;28042340169;4;0;0;1;0;0;0;0;0;0;
2004 23 2;37;28042440040;4;0;0;1;0;1;0;0;0;0;
2004 23 2;38;28042420063;4;0;0;1;0;0;0;0;0;0;
2004 23 2;39;28042610029;4;0;0;1;1;0;0;0;0;0;
2004 23 2;40;28042040271;4;0;0;1;0;1;0;0;0;0;
2004 23 2;41;28042040274;4;0;0;1;0;1;0;0;0;0;
2004 23 2;42;28042340556;4;0;0;1;0;0;0;0;0;0;
2004 23 2;43;28042340593;4;1;0;1;0;0;0;0;0;0;
2004 23 2;44;28042040280;4;0;0;1;0;1;0;0;0;0;
2004 23 2;45;28042340536;4;0;0;1;0;0;0;0;0;0;
2004 23 2;46;28042340289;4;0;0;1;0;0;0;0;0;0;
2004 23 2;47;28042040267;4;0;0;1;0;1;0;0;0;0;
2004 23 2;48;28042440116;4;0;0;1;0;0;0;0;0;0;
2004 23 2;49;28042040272;4;0;0;1;0;1;0;0;0;0;
2004 23 2;50;28042440167;4;0;1;1;0;0;0;0;0;1;
2004 23 2;51;28042340341;4;1;0;1;1;0;0;0;0;0;
2004 23 2;52;28042040269;4;0;0;1;0;1;0;0;0;0;
2004 23 2;53;28042040277;4;0;0;1;0;1;0;0;0;0;
2004 23 2;54;28042440114;4;0;0;1;0;0;0;0;0;0;
2004 23 2;55;28042440147;4;0;0;1;1;0;0;0;0;0;
2004 23 2;56;28042040270;4;0;0;1;0;1;0;0;0;0;
2004 23 2;57;28042320558;4;0;0;1;0;0;0;0;0;0;
2004 23 2;58;28042440134;4;0;0;1;1;0;0;0;0;0;
2004 23 2;59;28042040273;4;0;0;1;0;1;0;0;0;0;
2004 23 2;60;28042040279;3;0;0;1;0;1;0;0;0;0;
2004 23 3;1;28042240713;2;0;0;1;0;1;0;0;0;0;
2004 23 3;2;28042240729;3;0;0;1;0;0;0;0;0;0;
2004 23 3;3;28042240718;3;1;0;1;0;0;0;0;0;0;
2004 23 3;4;28042340283;3;0;0;1;0;0;0;0;0;0;
2004 23 3;5;28042410593;3;0;0;1;0;1;0;0;0;0;
2004 23 3;6;28042340174;3;0;0;1;0;0;0;0;0;0;
2004 23 3;7;28042340566;3;0;0;1;0;0;0;0;0;0;
2004 23 3;8;28042340171;3;0;0;1;0;0;0;0;0;0;
2004 23 3;9;28042340168;3;0;0;1;0;0;0;0;0;0;
2004 23 3;10;28042410594;3;0;0;1;0;1;0;0;0;0;
2004 23 3;11;28042440730;3;0;0;1;1;0;0;0;0;0;
2004 23 3;12;28042340589;3;0;0;1;0;0;0;0;0;0;
2004 23 3;13;28042440527;1;1;0;1;0;0;0;0;0;0;
2004 23 3;14;28042440731;1;0;0;1;1;1;0;1;0;0;
2004 23 3;15;28042610005;3;0;0;1;0;0;0;0;0;0;
