Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;
2004 21 5;688;29042240432;5;0;1;1;0;0;0;1;
2004 21 5;689;29042150318;5;0;0;0;1;0;0;1;
2004 21 5;690;29042210562;5;0;0;1;0;0;0;1;
2004 21 5;691;29042160570;5;0;0;1;0;0;0;1;
2004 21 5;692;29042150189;5;0;0;0;1;0;0;1;
2004 21 5;693;29042160465;5;1;0;1;0;0;0;1;
2004 21 5;694;29042250383;5;0;0;1;0;0;0;1;
2004 21 5;695;29042150112;5;0;0;0;1;0;0;1;
2004 21 5;696;29042210757;5;0;1;1;0;0;0;1;
2004 21 5;697;29042150374;5;0;0;0;1;1;0;1;
2004 21 5;698;29042160518;5;0;0;1;0;0;0;1;
2004 21 5;699;29042650069;5;0;0;1;0;0;0;1;
2004 21 5;700;29042150260;5;0;0;0;1;1;0;1;
2004 21 5;701;29042160450;5;0;0;1;0;0;0;1;
2004 21 5;702;29042150342;5;0;0;0;1;0;0;1;
2004 21 5;703;29042260052;5;0;0;1;0;0;0;1;
2004 21 5;704;29042160459;5;0;0;1;0;0;0;1;
2004 21 5;705;29042650070;5;0;0;1;0;0;0;1;
2004 21 5;706;29042150163;5;0;0;0;1;1;0;1;
2004 21 5;707;29042150140;5;0;0;0;1;0;0;1;
2004 21 5;708;29042150145;5;0;0;0;1;0;0;1;
2004 21 5;709;29042150149;5;0;0;0;1;0;0;1;
2004 21 5;710;29042150166;5;0;0;0;1;1;0;1;
2004 21 5;711;29042150144;5;0;0;0;1;0;0;1;
2004 21 5;712;29042150153;5;0;0;0;1;0;0;1;
2004 21 5;713;29042150168;5;0;0;0;1;1;0;1;
2004 21 5;714;29042150152;5;0;0;0;1;0;0;1;
2004 21 5;715;29042150151;5;0;0;0;1;0;0;1;
2004 21 5;716;29042150169;5;0;0;0;1;1;0;1;
2004 21 5;717;29042150135;5;0;0;0;1;0;0;1;
2004 21 5;718;29042150130;5;0;0;0;1;0;0;1;
2004 21 5;719;29042150125;5;0;0;0;1;0;0;1;
2004 21 5;720;29042150127;5;0;0;0;1;0;0;1;
2004 21 5;721;29042160568;5;0;0;1;0;0;0;1;
2004 21 5;722;29042160610;5;0;0;1;0;0;0;0;
2004 21 5;723;29042160283;5;0;0;0;1;0;0;0;
2004 21 5;724;29042160284;5;0;0;0;1;0;0;0;
2004 21 5;725;29042160602;5;0;0;1;0;0;0;1;
