Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;
2004 22 2;124;35042230587;2;0;0;0;0;
2004 22 2;125;35042230587;2;0;0;0;1;
2004 22 2;126;35042230449;2;0;0;1;1;
2004 22 2;127;35042230448;2;0;0;1;1;
2004 22 2;128;35042220293;1;1;0;0;1;
2004 22 3;1;35042230549;5;0;1;0;0;
2004 22 3;2;35042230452;1;0;0;1;1;
2004 22 3;3;35042230538;1;1;0;0;0;
2004 22 3;4;35042230118;1;0;0;1;1;
2004 22 3;5;35042230575;5;0;1;0;0;
2004 22 3;6;35042230583;1;0;0;0;1;
2004 22 3;7;35042150187;1;0;0;1;0;
2004 22 3;8;35042230542;1;1;0;0;1;
2004 22 3;9;35042230550;5;0;1;0;0;
2004 22 3;10;35042230115;1;0;0;1;1;
2004 22 3;11;35042230008;1;0;0;1;0;
2004 22 3;12;35042240345;1;0;0;0;1;
2004 22 3;13;35042230556;5;0;1;0;0;
2004 22 3;14;35042230539;1;1;0;0;0;
2004 22 3;15;35042230109;1;0;0;1;1;
2004 22 3;16;35042230528;1;1;0;0;0;
2004 22 3;17;35042230573;1;0;1;0;0;
2004 22 3;18;35042230113;1;0;0;1;1;
2004 22 3;19;35042230548;5;0;1;0;0;
2004 22 3;20;35042250368;1;0;0;0;1;
2004 22 3;21;35042230099;1;0;0;1;1;
2004 22 3;22;35042230527;1;1;0;0;0;
2004 22 3;23;35042230121;1;0;0;1;1;
2004 22 3;24;35042230563;2;0;1;0;0;
2004 22 3;25;35042230450;2;0;0;1;1;
2004 22 3;26;35042220279;2;1;0;0;0;
2004 22 3;27;35042230566;2;0;1;0;0;
2004 22 3;28;35042240069;2;0;0;1;1;
2004 22 3;29;35042040314;2;0;0;1;0;
2004 22 3;30;35042220291;2;1;0;0;1;
2004 22 3;31;35042230571;4;0;1;0;0;
2004 22 3;32;35042240071;4;0;0;1;1;
2004 22 3;33;35042230570;4;0;1;0;0;
2004 22 3;34;35042110310;4;0;0;1;0;
2004 22 3;35;35042230524;1;1;0;0;0;
2004 22 3;36;35042230095;1;0;0;1;1;
2004 22 3;37;35042230576;5;0;1;0;0;
2004 22 3;38;35042230119;1;0;0;1;1;
2004 22 3;39;35042240347;1;0;0;0;1;
2004 22 3;40;35042230523;1;1;0;0;0;
2004 22 3;41;35042230117;1;0;0;1;1;
2004 22 3;42;35042230572;1;0;1;0;0;
2004 22 3;43;35042230101;1;0;0;1;1;
2004 22 3;44;35042230544;1;0;0;0;0;
2004 22 3;45;35042230110;1;0;0;1;1;
2004 22 3;46;35042220284;1;1;0;0;1;
2004 22 3;47;35042230577;5;0;1;0;0;
2004 22 3;48;35042230096;1;0;0;1;1;
2004 22 3;49;35042230588;1;0;0;0;0;
2004 22 3;50;35042230107;1;0;0;1;1;
2004 22 3;51;35042220285;1;1;0;0;1;
2004 22 3;52;35042230578;5;0;1;0;0;
2004 22 3;53;35042230111;1;0;0;1;1;
2004 22 3;54;35042230104;1;0;0;1;1;
2004 22 3;55;35042230525;1;1;0;0;0;
2004 22 3;56;35042230105;1;0;0;1;1;
2004 22 3;57;35042230557;5;0;1;0;0;
2004 22 3;58;35042230071;3;0;0;1;1;
2004 22 3;59;35042230553;5;0;1;0;0;
2004 22 3;60;35042230100;1;0;0;1;1;
2004 22 3;61;35042230526;1;1;0;0;0;
2004 22 3;62;35042240346;1;0;0;0;1;
2004 22 3;63;35042230120;1;0;0;1;1;
2004 22 3;64;35042230552;5;0;1;0;0;
2004 22 3;65;35042230586;1;0;0;0;1;
2004 22 3;66;35042210006;1;0;0;1;0;
2004 22 3;67;35042230521;1;1;0;0;1;
2004 22 3;68;35042230551;5;0;1;0;0;
2004 22 3;69;35042230116;1;0;0;1;1;
2004 22 3;70;35042230097;1;0;0;1;1;
2004 22 3;71;35042230579;5;0;1;0;0;
2004 22 3;72;35042230520;1;1;0;0;1;
2004 22 3;73;35042230114;1;0;0;1;1;
2004 22 3;74;35042230585;1;0;0;0;1;
2004 22 3;75;35042230555;5;0;1;0;0;
2004 22 3;76;35042230108;1;0;0;1;1;
