Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;
2004 22 2;246;35042220188;9;0;1;0;0;0;
2004 22 2;247;35042220150;9;1;1;0;0;1;
2004 22 2;248;35042220104;9;0;1;0;0;0;
2004 22 2;249;35042220209;9;0;1;0;0;0;
2004 22 2;250;35042220155;9;1;1;0;0;1;
2004 22 2;251;35042220143;9;0;1;0;0;0;
2004 22 2;252;35042220215;9;0;1;0;0;0;
2004 22 2;253;35042220220;9;0;1;0;0;0;
2004 22 2;254;35042220105;9;0;1;0;0;0;
2004 22 2;255;35042220123;9;0;1;0;0;0;
2004 22 2;256;35042205190;9;0;0;1;1;0;
2004 22 2;257;35042205189;9;0;0;1;1;0;
2004 22 2;258;35042205188;9;0;0;1;1;0;
2004 22 2;259;35042205183;9;0;0;1;1;0;
2004 22 2;260;35042205184;9;0;0;1;1;0;
2004 22 2;261;35042205186;9;0;0;1;1;0;
2004 22 2;262;35042205185;9;0;0;1;1;0;
2004 22 2;263;35042205187;9;0;0;1;1;0;
2004 22 2;264;35042205182;9;0;0;1;1;0;
2004 22 2;265;35042205181;9;0;0;1;1;0;
2004 22 2;266;35042205178;9;0;0;1;1;0;
2004 22 2;267;35042205180;9;0;0;1;1;0;
2004 22 2;268;35042205179;9;0;0;1;1;0;
2004 22 2;269;35042205177;8;0;0;1;1;0;
2004 22 3;1;35042230236;3;1;1;0;0;1;
2004 22 3;2;35042220217;5;0;1;0;0;0;
2004 22 3;3;35042230404;3;1;1;0;0;1;
2004 22 3;4;35042220176;5;0;1;0;0;0;
2004 22 3;5;35042230408;3;1;1;0;0;1;
2004 22 3;6;35042220153;5;0;1;0;0;0;
2004 22 3;7;35042230405;3;1;1;0;0;1;
2004 22 3;8;35042220124;5;0;1;0;0;0;
2004 22 3;9;35042230400;3;1;1;0;0;1;
2004 22 3;10;35042230438;7;0;1;0;0;0;
2004 22 3;11;35042230401;3;1;1;0;0;1;
2004 22 3;12;35042230440;7;0;1;0;0;0;
2004 22 3;13;35042230388;7;1;1;0;0;1;
2004 22 3;14;35042230216;7;0;0;1;0;0;
2004 22 3;15;35042230432;3;1;1;0;0;1;
2004 22 3;16;35042230426;3;0;1;0;0;0;
2004 22 3;17;35042230433;3;1;1;0;0;1;
2004 22 3;18;35042130324;7;0;0;1;0;0;
2004 22 3;19;35042230374;7;1;1;0;0;1;
2004 22 3;20;35042230439;7;0;1;0;0;0;
2004 22 3;21;35042230406;3;1;1;0;0;1;
2004 22 3;22;35042230410;7;0;1;0;0;0;
2004 22 3;23;35042230398;7;1;1;0;0;1;
2004 22 3;24;35042230420;7;0;1;0;0;0;
2004 22 3;25;35042230403;3;1;1;0;0;1;
2004 22 3;26;35042150256;7;0;1;0;0;0;
2004 22 3;27;35042230402;3;1;1;0;0;1;
2004 22 3;28;35042150181;3;1;1;0;0;1;
2004 22 3;29;35042230434;7;0;1;0;0;0;
2004 22 3;30;35042230245;7;1;1;0;0;1;
2004 22 3;31;35042240165;7;0;0;1;0;0;
2004 22 3;32;35042230369;3;1;1;0;0;1;
2004 22 3;33;35042150152;7;0;1;0;0;0;
2004 22 3;34;35042230381;3;1;1;0;0;1;
2004 22 3;35;35042230372;3;1;1;0;0;1;
2004 22 3;36;35042230389;7;0;1;0;0;0;
2004 22 3;37;35042230149;7;1;0;0;0;0;
2004 22 3;38;35042230390;7;0;1;0;0;0;
2004 22 3;39;35042230237;7;1;1;0;0;1;
2004 22 3;40;35042230380;7;0;1;0;0;0;
2004 22 3;41;35042240199;2;1;0;1;0;0;
2004 22 3;42;35042220107;2;0;1;0;0;0;
2004 22 3;43;35042230382;3;1;1;0;0;1;
