Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;
2004 22 3;1110;39042220376;15;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;1111;39042221334;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1112;39042221044;15;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;1113;39042230606;15;1;0;0;1;0;0;0;0;0;0;1;
2004 22 3;1114;39042220901;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1115;39042221671;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1116;39042220494;15;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;1117;39042320748;15;0;0;1;0;1;1;0;1;1;1;0;
2004 22 3;1118;39042240583;15;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1119;39042221129;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1120;39042221358;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1121;39042220493;15;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;1122;39042221599;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1123;39042320774;15;0;0;0;0;0;0;1;0;0;1;0;
2004 22 3;1124;39042230601;15;1;0;0;1;0;0;0;0;0;0;1;
2004 22 3;1125;39042221508;15;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;1126;39042221695;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1127;39042321275;15;0;0;0;1;0;0;0;0;0;1;0;
2004 22 3;1128;39042221737;15;1;0;1;0;0;0;0;0;1;0;0;
2004 22 3;1129;39042221619;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1130;39042130920;15;0;0;0;1;0;1;0;0;1;0;0;
2004 22 3;1131;39042320988;15;0;0;0;0;0;0;1;1;0;1;0;
2004 22 3;1132;39042221766;15;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1133;39042220968;15;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;1134;39042221504;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1135;39042221775;15;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1136;39042220427;15;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;1137;39042221261;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1138;39042220573;15;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;1139;39042210350;15;0;0;1;0;0;0;0;0;1;0;0;
2004 22 3;1140;39042221651;15;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;1141;39042220846;14;0;0;0;1;1;1;0;0;1;0;0;
2004 22 4;1;39042321461;7;0;0;0;1;0;0;0;1;1;1;0;
2004 22 4;2;39042230633;7;0;0;0;0;0;0;1;0;0;0;0;
2004 22 4;3;39042220659;7;1;0;0;0;0;0;0;0;0;0;0;
2004 22 4;4;39042321723;7;0;0;0;0;0;0;0;0;0;1;0;
2004 22 4;5;39042230397;7;0;0;0;0;0;1;0;0;1;0;0;
2004 22 4;6;39042211491;7;0;0;0;0;0;0;0;0;0;0;0;
2004 22 4;7;39042320960;7;0;0;0;0;0;0;0;0;0;1;0;
2004 22 4;8;39042230366;7;0;0;1;0;1;0;0;0;0;0;0;
2004 22 4;9;39042230056;15;1;0;0;0;0;0;0;0;0;0;0;
2004 22 4;10;39042220787;1;0;0;0;0;0;0;0;0;1;0;0;
2004 22 4;11;39042211489;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 4;12;39042320882;1;0;0;0;0;0;0;1;0;0;1;0;
2004 22 4;13;39042221988;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 4;14;39042210849;1;0;0;0;1;0;0;0;0;0;0;0;
2004 22 4;15;39042221432;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 4;16;39042231563;1;0;0;0;0;0;0;0;0;1;0;0;
2004 22 4;17;39042220819;1;1;0;0;0;0;0;0;0;0;0;0;
