Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;
2004 22 3;834;39042220082;6;1;0;0;1;0;0;0;0;1;0;0;
2004 22 3;835;39042221621;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;836;39042221515;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;837;39042112208;6;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;838;39042211602;6;0;0;0;0;0;0;0;0;0;1;0;
2004 22 3;839;39042221317;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;840;39042060039;6;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;841;39042220736;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;842;39042220734;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;843;39042060052;6;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;844;39042350547;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;845;39042210140;6;0;0;0;0;0;0;0;0;0;1;0;
2004 22 3;846;39042120024;6;1;1;0;0;1;0;0;0;0;0;0;
2004 22 3;847;39042221245;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;848;39042131516;6;0;0;0;0;0;0;0;0;0;1;0;
2004 22 3;849;39042220737;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;850;39042060046;6;1;0;0;0;0;0;0;0;0;0;0;
2004 22 3;851;39042221347;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;852;39042220741;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;853;39042221967;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;854;39042221873;6;0;0;0;0;0;0;0;0;0;1;0;
2004 22 3;855;39042220837;6;0;0;1;0;0;0;0;0;0;0;1;
2004 22 3;856;39042110034;6;1;1;0;0;0;0;0;0;0;0;0;
2004 22 3;857;39042221449;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;858;39042221631;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;859;39042221917;6;0;0;0;0;0;0;0;0;0;1;0;
2004 22 3;860;39042221500;6;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;861;39042221825;6;0;0;0;0;0;0;0;0;0;1;0;
