Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;HPRC10;HPRC11;LPRC1;LPRC2;LPRC3;
2004 22 2;788;64042220976;5;0;0;0;0;0;0;1;0;1;0;1;0;1;0;
2004 22 2;789;64042220447;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 2;790;64042220218;5;0;0;0;0;0;1;1;0;1;1;1;0;0;0;
2004 22 2;791;64042221074;5;0;0;0;0;0;0;0;0;1;0;1;0;1;1;
2004 22 2;792;64042220210;5;0;0;0;1;0;0;1;1;0;0;0;0;0;0;
2004 22 2;793;64042220026;5;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 2;794;64042220317;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;795;64042220311;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 2;796;64042220132;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;797;64042220032;5;0;0;1;0;0;0;0;0;1;0;1;0;0;1;
2004 22 2;798;64042210400;5;0;0;0;1;0;0;1;1;0;1;0;0;1;0;
2004 22 2;799;64042220147;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;800;64042220402;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 2;801;64042220310;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;802;64042220115;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;803;64042221145;5;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 2;804;64042220080;5;0;0;0;0;0;0;1;0;1;0;1;1;0;0;
2004 22 2;805;64042220029;5;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 2;806;64042220048;5;0;0;0;0;0;0;0;0;1;1;1;0;0;1;
2004 22 2;807;64042220487;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 2;808;64042220169;5;0;0;0;0;0;1;1;0;1;0;1;0;0;0;
2004 22 2;809;64042220086;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;810;64042221148;5;0;0;0;1;0;0;1;1;0;0;0;0;1;0;
2004 22 2;811;64042220090;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;812;64042221256;5;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 2;813;64042220266;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;814;64042220049;5;0;0;0;0;0;0;0;0;1;1;1;0;0;1;
2004 22 2;815;64042210266;5;0;0;0;1;0;0;1;1;0;0;0;0;0;0;
2004 22 2;816;64042220088;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;1;64042231349;14;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;2;64042230762;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;3;64042231346;14;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 3;4;64042230592;14;0;0;0;1;0;0;1;1;0;1;0;0;0;0;
2004 22 3;5;64042231110;14;0;0;1;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;6;64042230739;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;7;64042231305;14;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;8;64042230269;14;0;0;0;0;0;0;1;0;1;0;1;1;0;0;
2004 22 3;9;64042230555;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;10;64042231327;14;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;11;64042230095;14;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;12;64042230300;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;13;64042231174;14;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;14;64042230250;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;15;64042231161;14;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 3;16;64042110047;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;
2004 22 3;17;64042230264;13;0;0;1;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;18;64042230406;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;19;64042230697;13;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;20;64042231333;13;0;0;0;1;0;0;1;1;0;0;0;0;0;0;
2004 22 3;21;64042230723;13;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;22;64042230709;13;0;0;0;0;0;1;1;0;1;0;1;0;0;0;
2004 22 3;23;64042230585;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;24;64042230767;13;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;25;64042230746;13;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;26;64042230581;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;27;64042230704;13;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;28;64042230583;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;29;64042231116;14;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 3;30;64042230224;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;31;64042230073;14;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;32;64042230780;14;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;33;64042230523;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;34;64042231214;9;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;35;64042231279;12;0;0;0;1;0;0;0;1;0;0;0;0;1;1;
2004 22 3;36;64042230430;12;0;0;0;0;0;0;1;0;1;0;1;1;0;0;
2004 22 3;37;64042231264;12;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;38;64042230617;12;0;0;1;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;39;64042231247;12;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;40;64042221213;12;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 3;41;64042231192;12;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 3;42;64042231216;12;0;0;0;0;0;1;1;0;1;0;1;0;1;0;
2004 22 3;43;64042220068;12;0;0;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;44;64042230425;12;0;0;0;0;0;0;1;0;1;0;1;1;0;0;
2004 22 3;45;64042231212;12;0;0;0;0;0;0;0;0;1;0;1;0;1;0;
2004 22 3;46;64042231297;12;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;47;64042230535;12;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;48;64042221264;12;0;0;1;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;49;64042231265;12;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;50;64042230760;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;51;64042230262;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;52;64042230189;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;53;64042230176;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;54;64042231289;11;0;0;0;1;0;0;0;1;0;0;0;0;1;0;
2004 22 3;55;64042230180;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;56;64042230185;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 3;57;64042230187;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
