Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;
2004 22 3;374;64042230047;2;0;0;0;1;0;
2004 22 3;375;64042230044;2;0;0;0;0;0;
2004 22 3;376;64042230046;2;0;0;0;1;0;
2004 22 3;377;64042220568;2;0;0;0;0;0;
2004 22 3;378;64042240001;2;0;0;0;0;0;
2004 22 3;379;64042230990;2;0;0;0;0;0;
2004 22 3;380;64042231019;2;0;0;1;0;1;
2004 22 3;381;64042230987;2;0;0;0;0;0;
2004 22 3;382;64042230606;2;0;0;1;0;0;
2004 22 3;383;64042230007;2;0;0;0;0;0;
2004 22 3;384;64042220669;2;0;0;0;0;0;
2004 22 3;385;64042230605;2;0;0;1;0;0;
2004 22 3;386;64042230632;2;0;0;0;0;0;
2004 22 3;387;64042230628;2;0;0;0;0;0;
2004 22 3;388;64042230629;2;0;0;0;0;0;
2004 22 3;389;64042230620;2;0;0;0;0;0;
2004 22 3;390;64042231047;2;0;0;1;0;0;
2004 22 3;391;64042230621;2;0;0;0;0;0;
2004 22 3;392;64042230626;2;0;0;0;0;0;
2004 22 3;393;64042230622;2;0;0;0;0;0;
2004 22 3;394;64042220578;2;0;0;0;0;0;
2004 22 3;395;64042220567;2;0;0;0;0;0;
2004 22 3;396;64042230064;2;0;0;0;0;0;
2004 22 3;397;64042230063;2;0;0;0;0;0;
2004 22 3;398;64042240892;2;0;0;0;0;0;
2004 22 3;399;64042240850;2;0;0;1;0;0;
2004 22 3;400;64042231052;2;0;0;0;0;1;
2004 22 3;401;64042231105;2;0;0;1;0;1;
2004 22 3;402;64042130862;2;0;0;0;0;1;
2004 22 3;403;64042231044;2;0;0;1;0;1;
2004 22 3;404;64042240908;2;0;0;0;0;1;
2004 22 3;405;64042250835;2;0;0;0;0;0;
2004 22 3;406;64042251053;2;0;0;0;0;0;
2004 22 3;407;64042250831;2;0;0;0;0;0;
2004 22 3;408;64042251055;2;0;0;0;0;0;
2004 22 3;409;64042250833;2;0;0;0;0;0;
2004 22 3;410;64042250883;2;0;0;0;0;0;
2004 22 3;411;64042240904;2;0;0;0;0;1;
2004 22 3;412;64042240775;1;0;0;0;0;1;
2004 22 4;1;64042240895;4;0;0;1;0;0;
2004 22 4;2;64042240553;6;0;1;0;0;0;
2004 22 4;3;64042240806;4;0;0;1;0;0;
2004 22 4;4;64042241122;6;0;0;0;0;0;
2004 22 4;5;64042240763;6;0;0;0;1;0;
2004 22 4;6;64042240893;6;0;0;0;0;0;
2004 22 4;7;64042240894;6;0;0;0;0;0;
2004 22 4;8;64042240727;6;0;0;0;0;0;
2004 22 4;9;64042240799;4;0;0;1;0;0;
2004 22 4;10;64042250830;4;0;0;0;0;1;
2004 22 4;11;64042240790;4;0;0;1;0;0;
2004 22 4;12;64042350837;4;0;0;0;0;0;
2004 22 4;13;64042240803;4;0;0;1;0;0;
2004 22 4;14;64042240760;6;0;0;0;0;0;
2004 22 4;15;64042240797;4;0;0;1;0;0;
2004 22 4;16;64042240741;6;0;0;0;0;0;
2004 22 4;17;64042240792;4;0;0;1;0;0;
2004 22 4;18;64042240997;4;0;0;0;0;0;
2004 22 4;19;64042241127;4;1;0;1;0;0;
2004 22 4;20;64042240759;6;0;0;0;0;0;
2004 22 4;21;64042240750;6;0;0;0;0;0;
2004 22 4;22;64042240719;6;0;0;1;0;0;
2004 22 4;23;64042240758;6;0;0;0;0;0;
2004 22 4;24;64042240736;6;0;0;0;0;0;
2004 22 4;25;64042240734;6;0;0;0;0;0;
2004 22 4;26;64042240757;6;0;0;0;0;0;
2004 22 4;27;64042240595;6;0;0;0;1;0;
2004 22 4;28;64042240735;6;0;0;0;0;0;
2004 22 4;29;64042240817;7;0;0;1;0;0;
2004 22 4;30;64042240633;6;0;0;0;0;0;
2004 22 4;31;64042240662;6;0;0;0;0;0;
2004 22 4;32;64042240720;6;0;0;1;0;0;
2004 22 4;33;64042240644;6;0;0;0;0;0;
2004 22 4;34;64042240820;7;0;0;1;0;0;
2004 22 4;35;64042240131;1;1;0;0;0;1;
2004 22 4;36;64042240897;1;0;0;0;0;0;
2004 22 4;37;64042240812;7;0;0;1;0;0;
2004 22 4;38;64042240900;5;0;0;0;0;0;
2004 22 4;39;64042240891;5;0;0;0;0;0;
2004 22 4;40;64042240887;5;1;0;0;0;0;
2004 22 4;41;64042240890;5;0;0;1;0;0;
